listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,neighborhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
24344554,"Cute 4 bedroom home, 250m to Manly Beach",19972979,2014-08-13,AU,,,,3.0,t,Manly,,Sydney,-33.78952,151.28519,Entire cottage,Entire place,7,4.0,"['Fire extinguisher', 'Washer', 'Iron', 'Indoor fireplace', 'Smoke alarm', 'Long term stays allowed', 'Private entrance', 'Hot water', 'Lockbox', 'Free street parking', 'Essentials', 'Luggage dropoff allowed', 'Dedicated workspace', 'Kitchen', 'Hangers', 'Shampoo', 'Wifi', 'Hair dryer', 'TV', 'Heating']",300,2,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
19447697,Appartement 2 piÃÂ¨ces PÃÂ¨re Lachaise,126554594,2017-04-19,Paris/ Ile-de-France/ France,,,,1.0,t,Menilmontant,,Paris,48.8634,2.38954,Entire apartment,Entire place,4,1.0,"['Heating', 'Washer', 'Dryer', 'Elevator', 'Smoke alarm', 'Wifi', 'Kitchen', 'Essentials', 'Hangers', 'Long term stays allowed', 'TV']",65,2,1125,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f
19441262,Unit 2. 65A Fitzroy st. Surry Hills,115444556,2017-02-08,Surry Hills/ New South Wales/ Australia,within an hour,1.0,0.96,4.0,t,Sydney,,Sydney,-33.88522,151.21625,Entire apartment,Entire place,2,,"['Patio or balcony', 'Lockbox', 'Bed linens', 'Shampoo', 'Hair dryer', 'TV', 'Fire extinguisher', 'Heating', 'Washer', 'Iron', 'Essentials', 'Cooking basics', 'Private entrance', 'Extra pillows and blankets', 'Kitchen', 'Refrigerator', 'Dishwasher', 'Oven', 'Stove', 'Microwave', 'Hot water', 'Air conditioning', 'Dryer', 'Dedicated workspace', 'Dishes and silverware', 'Hangers', 'Wifi', 'Smoke alarm']",96,2,14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
20302347,PRIVATE ROOM AND BATHROOM IN WILLIAMSBURG,1192672,2011-09-21,New York/ New York/ United States,,,0.0,3.0,t,Williamsburg,Brooklyn,New York,40.71446,-73.93899,Private room in apartment,Private room,1,1.0,"['Smoke alarm', 'Hangers', 'Essentials', 'TV', 'Dedicated workspace', 'Wifi', 'Shampoo', 'Heating', 'Air conditioning', 'Long term stays allowed', 'Kitchen']",70,30,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
28517976,My home in the heart of Paris,2086930,2012-04-07,Paris/ Ile-de-France/ France,within an hour,1.0,1.0,1.0,t,Bourse,,Paris,48.86511,2.34748,Entire condominium,Entire place,3,1.0,"['Elevator', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Iron', 'Dryer', 'Smoke alarm', 'Essentials', 'Dishwasher', 'Paid parking off premises', 'Lockbox', 'Heating', 'Washer', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Hot water', 'Oven', 'Hair dryer', 'Wifi', 'Long term stays allowed', 'Microwave']",70,3,1125,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f
18981234,Beau 2 piÃÂ¨ces St Germain des prÃÂ¨s,118398175,2017-02-27,Paris/ Ile-de-France/ France,,,,1.0,t,Luxembourg,,Paris,48.8515,2.33847,Entire apartment,Entire place,3,1.0,"['Shampoo', 'Iron', 'Heating', 'Washer', 'Hair dryer', 'Bathtub', 'Dryer', 'Cable TV', 'Smoke alarm', 'Wifi', 'Kitchen', 'Elevator', 'Hot water', 'Hangers', 'Essentials', 'Long term stays allowed', 'Host greets you', 'TV', 'Breakfast']",180,6,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
35272050,Charmant appartement en plein coeur de Paris,7383776,2013-07-09,Paris/ Ile-de-France/ France,,,1.0,1.0,t,Buttes-Chaumont,,Paris,48.87768,2.37573,Entire apartment,Entire place,2,1.0,"['Iron', 'Shampoo', 'Heating', 'Washer', 'Elevator', 'Hair dryer', 'Wifi', 'Dishes and silverware', 'Kitchen', 'Refrigerator', 'Smoke alarm', 'Essentials', 'Long term stays allowed', 'Hangers', 'TV', 'Coffee maker']",85,3,1125,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f
10027182,[S.PIETRO-VATICANO] Q.DUPLE ROOM Ã¢Ëâ¦ [M.OTTAVIANO],6329883,2013-05-11,Rome/ Lazio/ Italy,within a day,1.0,1.0,4.0,t,I Centro Storico,,Rome,41.9138,12.45217,Private room in apartment,Private room,4,1.0,"['Paid parking off premises', 'Lock on bedroom door', 'Washer', 'Dedicated workspace', 'Microwave', 'Fire extinguisher', 'Hangers', 'Iron', 'Refrigerator', 'Host greets you', 'Bathtub', 'Wifi', 'Hair dryer', 'Heating', 'TV', 'Smoke alarm', 'Air conditioning', 'Coffee maker', 'Hot water', 'Long term stays allowed', 'Free street parking', 'Shampoo', 'Essentials', 'First aid kit', 'Bed linens']",69,1,1125,91.0,10.0,10.0,9.0,10.0,10.0,10.0,t
16147239,Very beautiful Flat in Montmartre!,50921880,2015-12-09,Paris/ Ile-de-France/ France,,,1.0,3.0,t,Buttes-Montmartre,,Paris,48.88304,2.34151,Entire apartment,Entire place,2,1.0,"['Iron', 'Heating', 'Washer', 'Hair dryer', 'Dryer', 'Smoke alarm', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Dishes and silverware', 'Elevator', 'Essentials', 'TV']",92,1,3,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f
35424418,Northern Sunny Nook,23455550,2014-11-07,New York/ New York/ United States,,,1.0,0.0,t,Inwood,Manhattan,New York,40.86539,-73.92115,Entire apartment,Entire place,3,1.0,"['Smoke alarm', 'Essentials', 'TV', 'Wifi', 'Heating', 'Air conditioning', 'Carbon monoxide alarm', 'Kitchen']",100,1,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f
